STNAME	,	AAWDT
ROOSEVELT WAY NE	,	11300
SENECA ST OFF RP	,	10600
VALLEY ST	,	40400
NE 125TH ST	,	10700
CORSON AVE S	,	8700
4TH AVE	,	13600
N 80TH ST	,	14900
CALIFORNIA AVE SW	,	14400
E MADISON ST	,	14900
S COLUMBIAN WAY	,	36600
S HOLGATE BR	,	7400
ALASKAN WY VI NB ON RP	,	10200
34TH AVE W	,	5000
GREENWOOD AVE N	,	22800
AURORA AVE N	,	83700
S LANDER ST	,	13800
6TH AVE	,	12900
RAINIER AVE S	,	27400
NE 65TH ST	,	16100
15TH AVE NE	,	12800
3RD AVE NW	,	8300
AURORA BR	,	81700
NE 145TH ST	,	30300
25TH AVE NE	,	18600
SWIFT AVE S	,	8000
EASTLAKE AVE E	,	15100
16TH AVE SW	,	4900
CORSON AVE S	,	25300
1ST AVE	,	15100
24TH AVE E	,	20500
LAKE CITY WAY NE	,	35400
SW 106TH ST	,	8800
M L KING JR WAY E	,	6500
LAKE CITY WAY NE	,	37300
12TH AVE S	,	19200
WESTERN AVE	,	9700
ELLIS AVE S	,	9400
NICKERSON ST	,	22000
35TH AVE SW	,	15600
ALASKAN WAY S	,	12700
BOREN AVE	,	20200
CALIFORNIA AVE SW	,	13500
STEWART ST RAMP	,	18500
PIKE RAMP	,	2500
UNIVERSITY ST ON RAMP	,	8300
JAMES ST OFF RAMP	,	10800
YALE ST ON RAMP	,	16600
OLIVE WAY OFF RAMP	,	9700
COLUMBIA ST OFF RAMP	,	16700
SENECA ST OFF RAMP	,	12200
SPRING ST ON RAMP	,	16100
UNION ST OFF RAMP	,	9600
JAMES ST ON RAMP SB	,	20500
CHERRY ST ON RAMP NB	,	11200
MADISON ST OFF RAMP	,	15800
CHERRY ST REV RAMP	,	3700
WESTERN AVE	,	6800
ALASKAN WAY	,	12300
SR99 FY	,	37400
SR509 NB	,	57000
ALASKAN WY VI NB & SB	,	64600
ALASKAN WY VI NB & SB	,	86700
WEST SEATTLE BR EB & WB	,	72600
WEST SEATTLE BR EB & WB	,	94500
WEST SEATTLE BR EB & WB	,	44100
35TH AVE SW	,	23600
FREMONT BR	,	28800
BATTERY ST TUNNEL NB & SB	,	62600
ALASKAN WY VI NB & SB	,	110300
M L KING JR WAY S	,	21600
M L KING JR WAY S	,	28100
S HENDERSON ST	,	10300
S GRAHAM ST	,	10900
RAINIER AVE S	,	29600
S JACKSON ST	,	14100
ML KING JR BLVD S NB & SB	,	18800
M L KING JR WAY S NB & SB	,	23800
S COLUMBIAN WAY	,	36600
NORTHGATE WAY W/O 15TH AVE NE	,	17800
ROOSEVELT WAY NE	,	9600
MELROSE AVE ON RAMP	,	26000
