CO2 (lbs/MWh),Min,Average,Max
January,1035,1219,1410
February,1031,1151,1326
March,1007,1171,1351
April,1046,1239,1591
May,1065,1237,1514
June,996,1191,1422
July,1042,1197,1430
August,1027,1208,1454
September,1030,1168,1397
October,977,1210,1447
November,942,1123,1312
December,1038,1163,1352
